Expenditure Amount (Millions),1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
         General Assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.0,4.0,3.0,4.0,5.0,7.0,8.0,8.0,9.0,19.0,16.0,16.0,20.0,35.0,42.0,45.0,63.0,72.0,80.0,74.0,68.0,55.0,24.0,32.0,32.0,53.0,67.0,91.0,117.0,156.0,142.0,184.0,198.0,206.0,244.0,260.0,247.0,295.0
         Maternal/Child Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Vocational Rehabilitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Federal Programs*,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,25.0,61.0,59.0,8.0,0.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other State and Local Programs**,8.0,8.0,9.0,9.0,10.0,12.0,15.0,22.0,32.0,37.0,30.0,26.0,30.0,38.0,58.0,85.0,122.0,157.0,222.0,255.0,365.0,388.0,397.0,471.0,567.0,607.0,666.0,644.0,749.0,884.0,1021.0,1124.0,1245.0,1345.0,1493.0,1579.0,1657.0,1679.0,1543.0,1575.0,1512.0,1679.0,1664.0,1534.0,1563.0,1470.0,1259.0,1261.0,1212.0,1078.0,1042.0,1080.0,1141.0,1183.0,1237.0,1314.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,72.0,84.0,74.0,72.0,83.0,101.0,166.0,275.0,406.0,514.0,625.0,778.0,915.0,1242.0,1562.0,1931.0,2328.0,2483.0,2589.0,2771.0,3083.0,3942.0,5407.0,7136.0,9385.0,11761.0,14925.0,17277.0,18701.0,19019.0,14981.0,14109.0,15308.0,18188.0,21050.0,24653.0,29020.0,33129.0,37978.0,43869.0,48713.0,54275.0,57676.0,59308.0,61149.0,62383.0,64477.0,67201.0
Other Non-Durable Medical Products Expenditures,1626.0,1764.0,1901.0,1944.0,2083.0,2211.0,2377.0,2527.0,2677.0,2967.0,3325.0,3470.0,3672.0,3983.0,4491.0,4949.0,5433.0,6083.0,7137.0,8450.0,9801.0,11296.0,12581.0,13755.0,14976.0,15955.0,17063.0,18265.0,19376.0,20819.0,22446.0,23247.0,23213.0,23742.0,24310.0,25100.0,26004.0,27581.0,28574.0,30624.0,31568.0,32250.0,33292.0,36199.0,38088.0,40805.0,43733.0,47752.0,49472.0,50328.0,51246.0,52825.0,53733.0,55672.0,56912.0,59030.0
     Out of pocket,1626.0,1764.0,1901.0,1944.0,2083.0,2211.0,2375.0,2522.0,2671.0,2960.0,3316.0,3460.0,3659.0,3968.0,4470.0,4921.0,5399.0,6039.0,7078.0,8376.0,9703.0,11166.0,12413.0,13536.0,14722.0,15668.0,16734.0,17885.0,18958.0,20343.0,21889.0,22505.0,22348.0,22783.0,23290.0,23893.0,24777.0,26248.0,27224.0,29296.0,30134.0,30669.0,31614.0,34338.0,36063.0,38663.0,41436.0,45212.0,46754.0,47532.0,48232.0,49689.0,50450.0,52946.0,54620.0,56778.0
     Health Insurance,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,9.0,10.0,13.0,15.0,21.0,28.0,34.0,44.0,59.0,74.0,98.0,130.0,168.0,219.0,254.0,287.0,329.0,380.0,418.0,476.0,557.0,742.0,865.0,959.0,1020.0,1207.0,1227.0,1333.0,1350.0,1327.0,1434.0,1581.0,1678.0,1861.0,2025.0,2142.0,2297.0,2540.0,2718.0,2796.0,3013.0,3135.0,3281.0,2724.0,2292.0,2253.0
          Private Health Insurance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,9.0,10.0,13.0,15.0,21.0,28.0,34.0,44.0,59.0,74.0,98.0,130.0,168.0,219.0,254.0,287.0,329.0,380.0,418.0,476.0,557.0,742.0,865.0,959.0,1020.0,1207.0,1227.0,1333.0,1350.0,1327.0,1434.0,1581.0,1678.0,1861.0,2025.0,2142.0,2297.0,2540.0,2718.0,2796.0,3013.0,3135.0,3281.0,2724.0,2292.0,2253.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Department of Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Department of Veterans Affairs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
     Other Third Party Payers and Programs,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
         Worksite Health Care,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Private Revenues,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Indian Health Services ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Workers' Compensation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         General Assistance,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Maternal/Child Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Vocational Rehabilitation,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other Federal Programs*,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,2.0,0.0,0.0
         SAMHSA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         Other State and Local Programs**,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
         School Health,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Total CMS Programs (Medicaid, CHIP and Medicare)",0.0,0.0,0.0,0.0,0.0,0.0,2.0,5.0,6.0,7.0,9.0,10.0,13.0,15.0,21.0,28.0,34.0,44.0,59.0,74.0,98.0,130.0,168.0,219.0,254.0,287.0,329.0,380.0,418.0,476.0,557.0,742.0,865.0,959.0,1020.0,1207.0,1227.0,1333.0,1350.0,1327.0,1434.0,1581.0,1678.0,1861.0,2025.0,2142.0,2297.0,2540.0,2718.0,2796.0,3013.0,3135.0,3281.0,2724.0,2292.0,2253.0
Total Prescription Drug Expenditures,2676.0,2718.0,3029.0,3159.0,3347.0,3715.0,3985.0,4227.0,4742.0,5149.0,5497.0,5877.0,6324.0,6817.0,7422.0,8052.0,8722.0,9196.0,9891.0,10744.0,12049.0,13398.0,15029.0,17323.0,19617.0,21795.0,24290.0,26888.0,30646.0,34757.0,40290.0,44381.0,46972.0,49551.0,53019.0,59766.0,68084.0,77636.0,88496.0,104564.0,121028.0,139000.0,157915.0,176659.0,192827.0,205143.0,224078.0,235630.0,241424.0,252665.0,252982.0,258676.0,259089.0,265089.0,297872.0,324551.0
     Out of pocket,2570.0,2595.0,2889.0,3005.0,3138.0,3441.0,3594.0,3712.0,4120.0,4362.0,4531.0,4752.0,5035.0,5341.0,5724.0,6093.0,6519.0,6813.0,7200.0,7575.0,8592.0,8983.0,10440.0,11446.0,12731.0,13855.0,15744.0,16692.0,18694.0,20581.0,22867.0,23553.0,23661.0,23835.0,23176.0,23201.0,24241.0,25709.0,27519.0,30481.0,33648.0,36350.0,40807.0,45466.0,48144.0,51323.0,51213.0,52158.0,49615.0,49068.0,45216.0,45246.0,45071.0,43602.0,44823.0,45540.0
     Health Insurance,39.0,42.0,46.0,47.0,85.0,133.0,288.0,445.0,540.0,703.0,907.0,1061.0,1217.0,1396.0,1608.0,1856.0,2087.0,2261.0,2563.0,2991.0,3242.0,4170.0,4312.0,5556.0,6504.0,7443.0,7914.0,9482.0,11110.0,13159.0,16217.0,19595.0,22056.0,24481.0,28539.0,35202.0,42431.0,50408.0,59252.0,72150.0,85091.0,99920.0,113998.0,127614.0,141006.0,149956.0,168863.0,179747.0,188210.0,200118.0,204402.0,210601.0,211449.0,219090.0,251028.0,277020.0
          Private Health Insurance,35.0,38.0,42.0,43.0,82.0,130.0,182.0,238.0,317.0,399.0,484.0,558.0,643.0,742.0,855.0,967.0,1097.0,1202.0,1433.0,1731.0,1810.0,2534.0,2610.0,3614.0,4244.0,5047.0,4836.0,5957.0,7126.0,8862.0,10860.0,13212.0,14755.0,16230.0,19209.0,24481.0,30114.0,36210.0,42647.0,52074.0,61108.0,71157.0,79754.0,87009.0,95104.0,102109.0,101960.0,106859.0,109684.0,116095.0,115955.0,116948.0,112839.0,113523.0,128198.0,139765.0
          Medicare,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,21.0,44.0,75.0,102.0,139.0,185.0,231.0,293.0,372.0,496.0,722.0,1011.0,1259.0,1561.0,1919.0,2096.0,2448.0,2473.0,2470.0,3372.0,3931.0,39638.0,45954.0,50644.0,54543.0,58946.0,63291.0,67529.0,74057.0,84769.0,94122.0
          Medicaid (Title XIX),0.0,0.0,0.0,0.0,0.0,0.0,103.0,205.0,219.0,300.0,417.0,495.0,563.0,644.0,739.0,871.0,969.0,1036.0,1107.0,1236.0,1408.0,1611.0,1669.0,1907.0,2219.0,2332.0,2986.0,3396.0,3814.0,4083.0,5077.0,6043.0,6883.0,7721.0,8627.0,9700.0,10824.0,12222.0,14031.0,16647.0,19771.0,23375.0,27520.0,32233.0,35844.0,36530.0,19109.0,18334.0,19226.0,20340.0,20412.0,20953.0,21591.0,22434.0,27955.0,31764.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,50.0,99.0,114.0,165.0,224.0,281.0,308.0,336.0,419.0,478.0,576.0,587.0,613.0,701.0,815.0,923.0,952.0,1092.0,1263.0,1319.0,1691.0,1916.0,2183.0,2342.0,2919.0,3445.0,4029.0,4551.0,4974.0,5543.0,6238.0,6998.0,8003.0,9525.0,11301.0,13391.0,15697.0,19239.0,21121.0,20966.0,10953.0,10560.0,11481.0,13594.0,13789.0,12512.0,11801.0,12357.0,17989.0,21051.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,53.0,106.0,106.0,135.0,193.0,214.0,255.0,308.0,321.0,392.0,394.0,449.0,493.0,536.0,593.0,688.0,717.0,815.0,956.0,1013.0,1295.0,1480.0,1631.0,1741.0,2158.0,2598.0,2854.0,3169.0,3653.0,4157.0,4586.0,5225.0,6029.0,7121.0,8469.0,9984.0,11822.0,12994.0,14723.0,15564.0,8156.0,7775.0,7744.0,6747.0,6623.0,8440.0,9790.0,10078.0,9966.0,10713.0
          CHIP (Title XIX and Title XXI),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,173.0,301.0,407.0,603.0,953.0,930.0,1053.0,977.0,993.0,1162.0,1363.0,1407.0,1441.0,1524.0,1474.0,1387.0,1494.0
                          Federal  ,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,122.0,213.0,289.0,427.0,676.0,661.0,747.0,689.0,698.0,828.0,976.0,1004.0,1032.0,1065.0,1027.0,990.0,1090.0
                          State and Local,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,51.0,89.0,118.0,176.0,277.0,268.0,306.0,288.0,295.0,334.0,386.0,403.0,409.0,459.0,447.0,398.0,404.0
         Department of Defense,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,3.0,5.0,6.0,5.0,6.0,9.0,10.0,11.0,11.0,11.0,11.0,13.0,20.0,22.0,27.0,34.0,38.0,43.0,57.0,65.0,84.0,98.0,114.0,145.0,179.0,213.0,259.0,312.0,338.0,471.0,667.0,1039.0,1821.0,2717.0,3279.0,3629.0,4427.0,4704.0,4733.0,4941.0,4720.0,4807.0,4846.0,4806.0,5695.0,6601.0
         Department of Veterans Affairs,4.0,4.0,4.0,4.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,4.0,5.0,5.0,7.0,9.0,12.0,11.0,12.0,12.0,13.0,13.0,13.0,12.0,11.0,10.0,10.0,10.0,11.0,9.0,10.0,10.0,10.0,12.0,28.0,86.0,223.0,405.0,628.0,866.0,1148.0,1495.0,1827.0,2231.0,2478.0,2704.0,2753.0,2903.0,2762.0,2837.0,2963.0,3161.0,3119.0,2795.0,3024.0,3275.0
     Other Third Party Payers and Programs,67.0,81.0,94.0,107.0,124.0,140.0,104.0,69.0,82.0,83.0,59.0,65.0,73.0,80.0,90.0,104.0,115.0,122.0,128.0,179.0,215.0,245.0,277.0,321.0,382.0,497.0,633.0,715.0,842.0,1017.0,1206.0,1233.0,1256.0,1235.0,1304.0,1364.0,1412.0,1519.0,1725.0,1933.0,2288.0,2729.0,3111.0,3579.0,3678.0,3863.0,4002.0,3724.0,3599.0,3478.0,3363.0,2829.0,2569.0,2398.0,2021.0,1992.0
